,0
AUDUSD,0.12131887020233854
BRENT,25.949748161044976
BRLUSD,1.2373971424461596
CADUSD,0.13721512740888878
CHFUSD,0.08708471235645314
COFFEE,43.191068296085824
COPPER,0.6927398837763447
DAX,3077.432186387492
DFF,1.3454592930684015
DGS10,0.9562880277802964
DGS2,1.1304557599262088
DGS30,0.9288711908510202
DGS5,0.9965222240336125
DOWJONES,7484.179725513438
DTWEXBGS,10.897891937917578
ESTR,0.014814732750870344
EURGBP,0.06263446126690998
EUROSTOXX50,566.1486069250213
EURUSD,0.13070100403803175
GBPUSD,0.21415587554145596
GOLD,324.8838780474865
IBEX35,1916.7206473922834
JPYUSD,12.858399627553206
MXNUSD,3.6563767607553594
NASDAQ100,3822.489632043758
NATGAS,1.9216607583691174
NIKKEI225,6036.389780111682
SILVER,6.665569091096003
SOFR,1.02019390315665
SONIA,1.6201855129241638
SP500,962.7715372590674
US10Y,0.9544826630061266
US2Y,1.1970891633529617
US30Y,0.9285358201164873
US5Y,0.995505431540935
VIX,9.403450391589688
WTI,23.31977210169814
AUDUSD_logret1,0.008117856722817084
BRENT_logret1,0.023423896045026288
BRLUSD_logret1,0.01171242415161224
CADUSD_logret1,0.0057017866260558915
CHFUSD_logret1,0.007723138382475735
COFFEE_logret1,0.019969414913426166
COPPER_logret1,0.0170995439222709
DAX_logret1,0.013750794314631175
DFF_logret1,0.08633340647198567
DGS10_logret1,0.028022783863922398
DGS2_logret1,0.05756159097102372
DGS30_logret1,0.0201771384524487
DGS5_logret1,0.04024130864764405
DOWJONES_logret1,0.011855471503604756
DTWEXBGS_logret1,0.0034402104258009713
ESTR_logret1,0.007297415132131536
EURGBP_logret1,0.005485718349729949
EUROSTOXX50_logret1,0.01441099348420835
EURUSD_logret1,0.007572301405530472
GBPUSD_logret1,0.005961022810343075
GOLD_logret1,0.01136997650909734
IBEX35_logret1,0.015119217438592972
JPYUSD_logret1,0.0074637852760909935
MXNUSD_logret1,0.008154668026533498
NASDAQ100_logret1,0.013889031579086152
NATGAS_logret1,0.03197446403941127
NIKKEI225_logret1,0.01504343979340288
SILVER_logret1,0.020899845623301234
SOFR_logret1,0.18659472606369096
SONIA_logret1,0.05150595743812384
SP500_logret1,0.012394577826240497
US10Y_logret1,0.02874242542380447
US2Y_logret1,0.2925994152306275
US30Y_logret1,0.020476486032821112
US5Y_logret1,0.039991654825961204
VIX_logret1,0.07753412664748484
WTI_logret1,0.02673634368422849
AUDUSD_vol20,0.004087346928768325
BRENT_vol20,0.012658345371433097
