cost_reviews_year,comparable,coverage_survival,coverage_calendar,coverage_ewma,coverage_random,delta_calendar,ci_calendar_low,ci_calendar_high,delta_ewma,ci_ewma_low,ci_ewma_high,delta_random,ci_random_low,ci_random_high
4.0,True,0.0977149067868752,0.07586621433560904,0.030808658847060154,0.07547315871187198,0.02184869245126615,-0.05190424434427067,0.09727550615554749,0.06690624793981505,-5.197424109841168e-05,0.1375956417563962,0.022241748075003214,-0.03336789555397724,0.08539964281184526
5.0,True,0.10867402391685285,0.10620430142002509,0.03851082355882519,0.09439191215921727,0.0024697224968277766,-0.08897311726992657,0.09257110186672939,0.07016320035802766,-0.0023256172389192475,0.1448619838404131,0.014282111757635559,-0.04546491695709052,0.07744000649447766
6.0,True,0.12727792962354137,0.12588817162930327,0.042105263157894736,0.11299968012202115,0.0013897579942381347,-0.08175439632212629,0.08592099769331332,0.08517266646564664,0.010526315789473684,0.15949830375853388,0.014278249501520261,-0.04920035861860756,0.08732103326126459
7.0,True,0.1682921908767895,0.10534906573126315,0.04331333283788235,0.13130031242523105,0.06294312514552634,-0.036478070805877685,0.1576402348763961,0.12497885803890714,0.03968912379791951,0.21332078277397068,0.036991878451558505,-0.03656347031996783,0.11587481599521636
8.0,True,0.17894736842105263,0.11399117313190986,0.05056242903719063,0.14929762698943527,0.06495619528914277,-0.026053854888149548,0.1584461780748098,0.128384939383862,0.03773466835119999,0.22312178148912515,0.02964974143161736,-0.04403446909469843,0.10333395195793314
9.0,True,0.17894736842105263,0.1756084908260301,0.057811525236498906,0.16699540996361348,0.003338877595022511,-0.10097031527256502,0.11674343871135981,0.12113584318455373,0.026399001079290565,0.2131995005396453,0.011951958457439129,-0.06173225206887665,0.09616248477322861
10.0,True,0.1872728598637809,0.22751273517030077,0.06315789473684211,0.18439741585788705,-0.040239875306519894,-0.1544028641114823,0.07460237240156803,0.1241149651269388,0.024878378259453885,0.22105263157894736,0.002875444005893851,-0.07300959086716739,0.08273934223686132
11.0,True,0.2,0.20321001584023307,0.06315789473684211,0.19867583351909263,-0.0032100158402330625,-0.11260186455069682,0.10706003785756842,0.1368421052631579,0.042105263157894736,0.24210526315789474,0.0013241664809074294,-0.07236004404540836,0.08553469279669687
12.0,True,0.2023618338645233,0.2736842105263158,0.06315789473684211,0.21554522826397876,-0.07132237666179247,-0.18692630362328544,0.046832997296419765,0.1392039391276812,0.044467097022418044,0.23630261509746767,-0.013183394399455506,-0.08922943879029464,0.07102713191633395
13.0,True,0.20852356563393537,0.2736842105263158,0.06315789473684211,0.2321293130525232,-0.06516064489238044,-0.17520482328637244,0.045225681197181816,0.14536567089709326,0.05062882879183009,0.24862607863629174,-0.023605747418587796,-0.10581352357883891,0.06060477889720169
14.0,True,0.21052631578947367,0.2302541005861403,0.06315789473684211,0.248431722342342,-0.01972778479666663,-0.12948093005740352,0.09474419092386228,0.14736842105263157,0.042105263157894736,0.25263157894736843,-0.03790540655286823,-0.12211593286865775,0.046305119762921246
15.0,True,0.23089360601446118,0.2614638363913233,0.06737545520920518,0.2644560595938204,-0.030570230376862108,-0.13959251982190637,0.08051520276903273,0.163518150805256,0.0585890968205746,0.272313527818396,-0.03356245357935929,-0.11743030921816885,0.05065663950335471
16.0,True,0.2511929385055278,0.25263157894736843,0.07617792916550808,0.2802058974028631,-0.0014386404418405734,-0.09905576529878879,0.10366503241409138,0.17501500934001976,0.0704663771381471,0.28582543969525653,-0.02901295889733541,-0.11250416499220461,0.05591688763937433
17.0,True,0.2623016983789549,0.25981709580356893,0.08498040312181099,0.29568477763364515,0.0024846025753859635,-0.1012849357834715,0.11391225746557013,0.1773212952571439,0.062388017930820605,0.29313217385030166,-0.033383079254690085,-0.11759360557047951,0.05168364341898658
18.0,True,0.2631578947368421,0.33898019448506267,0.09378287707811386,0.3083793971304372,-0.07582229974822056,-0.1886184485217644,0.03697384902532328,0.16937501765872823,0.05358554397451771,0.2846875088293641,-0.04522150239359507,-0.12943202870938456,0.04951533971166808
19.0,False,,,,,,,,,,,,,
20.0,False,,,,,,,,,,,,,
21.0,False,,,,,,,,,,,,,
22.0,False,,,,,,,,,,,,,
23.0,False,,,,,,,,,,,,,
24.0,False,,,,,,,,,,,,,
